customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
CC15295,Oregon,F,Bachelor,974335,24028.0,82.0,974335.01,Personal Auto,Four-Door Car,393
KA61892,Arizona,M,College,387364,28142.0,105.0,387364.7,Personal Auto,Luxury,701
OS94884,Arizona,F,Bachelor,764928,52705.0,64.0,764928.2,Personal Auto,Two-Door Car,128
ND87334,California,M,High School or Below,228759,0.0,63.0,228759.69,Corporate Auto,Two-Door Car,679
OY51402,Washington,F,High School or Below,825576,54040.0,103.0,825576.39,Personal Auto,SUV,59
YL74911,California,F,College,871492,0.0,118.0,871492.21,Personal Auto,SUV,566
GK92563,Washington,F,Doctor,681923,22492.0,85.0,681923.12,Personal Auto,Two-Door Car,61
HL53154,California,M,Bachelor,741619,0.0,77.0,741619.73,Personal Auto,Four-Door Car,554
RI78966,Oregon,M,Master,777115,21876.0,68.0,777115.9,Personal Auto,Four-Door Car,465
IC13702,California,F,Bachelor,696834,0.0,69.0,696834.19,Personal Auto,Four-Door Car,496
BE10809,California,F,High School or Below,425028,0.0,61.0,425028.26,Personal Auto,Four-Door Car,292
HT87217,Oregon,F,High School or Below,1977656,70699.0,82.0,1977656.65,Personal Auto,Four-Door Car,256
TH95618,California,F,High School or Below,2134346,0.0,74.0,2134346.6,Personal Auto,Four-Door Car,355
TS19868,California,M,College,241313,27501.0,63.0,241313.97,Personal Auto,Four-Door Car,542
LP45550,Oregon,F,Doctor,1536384,15897.0,101.0,1536384.72,Personal Auto,Four-Door Car,303
QR87004,Nevada,F,College,845696,25141.0,73.0,845696.19,Personal Auto,Four-Door Car,25
OE75747,Nevada,F,College,218964,0.0,61.0,218964.25,Personal Auto,Four-Door Car,292
DX91392,California,M,High School or Below,578018,51066.0,74.0,578018.22,Personal Auto,Four-Door Car,787
AB72731,California,F,Bachelor,463998,28358.0,117.0,463998.16,Personal Auto,Luxury,84
GX84338,Washington,F,Doctor,382443,62530.0,95.0,382443.13,Personal Auto,Four-Door Car,61
IS12901,Arizona,F,Bachelor,596811,90972.0,74.0,596811.89,Personal Auto,Two-Door Car,232
BN90616,Washington,F,Bachelor,859033,63110.0,72.0,859033.5,Personal Auto,Four-Door Car,68
HH90090,California,F,Bachelor,407663,29549.0,104.0,407663.47,Personal Auto,Luxury,710
IU25463,California,F,Bachelor,1225260,0.0,115.0,1225260.18,Personal Auto,Four-Door Car,552
KC11055,Nevada,F,Bachelor,1693627,39411.0,217.0,1693627.15,Personal Auto,Luxury,1122
PD33979,Oregon,M,High School or Below,489243,21709.0,62.0,489243.55,Personal Auto,Four-Door Car,408
NK71023,Nevada,M,Bachelor,994230,67890.0,85.0,994230.48,Personal Auto,Four-Door Car,408
AB13432,California,M,Bachelor,373583,0.0,110.0,373583.81,Personal Auto,SUV,792
OZ97704,California,F,High School or Below,1311752,84311.0,111.0,1311752.22,Personal Auto,SUV,532
UF46533,California,F,College,457452,99316.0,114.0,457452.41,Corporate Auto,SUV,754
XP47431,Arizona,F,Bachelor,547006,54507.0,138.0,547006.06,Personal Auto,SUV,702
GK73582,California,F,Bachelor,297884,64586.0,76.0,297884.6,Personal Auto,Four-Door Car,206
RV98763,Oregon,M,College,641096,61709.0,82.0,641096.75,Personal Auto,Four-Door Car,275
II62831,California,M,Master,447902,94656.0,111.0,447902.31,Special Auto,SUV,459
XK33449,California,F,High School or Below,238373,0.0,69.0,238373.19,Special Auto,Two-Door Car,496
TR85083,California,M,Bachelor,276449,61085.0,70.0,276449.37,Personal Auto,Two-Door Car,336
EO95328,Oregon,F,Bachelor,792010,89284.0,67.0,792010.54,Personal Auto,Two-Door Car,321
EN21086,Arizona,F,High School or Below,688909,0.0,63.0,688909.8,Personal Auto,Four-Door Car,302
YL83902,Washington,F,Bachelor,327419,31686.0,81.0,327419.46,Personal Auto,Four-Door Car,430
AZ62651,Oregon,M,High School or Below,995170,56855.0,255.0,995170.77,Corporate Auto,Luxury,1836
ZW25874,Oregon,M,Bachelor,252155,53703.0,67.0,252155.57,Special Auto,Four-Door Car,67
EH41854,Washington,F,High School or Below,2370611,0.0,96.0,2370611.34,Personal Auto,Two-Door Car,844
MW70227,California,M,College,604702,20396.0,76.0,604702.52,Personal Auto,Four-Door Car,364
SL22297,California,F,Master,1114030,27679.0,150.0,1114030.25,Personal Auto,SUV,722
RV14138,Nevada,F,Bachelor,433406,23904.0,123.0,433406.41,Personal Auto,SUV,590
UO62808,Arizona,F,High School or Below,279974,65351.0,69.0,279974.79,Corporate Auto,Four-Door Car,481
ZX64745,California,M,College,792313,0.0,113.0,792313.66,Personal Auto,SUV,1124
FL34139,California,M,High School or Below,368811,0.0,63.0,368811.09,Personal Auto,Four-Door Car,669
TS11219,California,M,College,1206745,0.0,116.0,1206745.6,Personal Auto,SUV,1284
XX12304,California,F,College,292497,64459.0,72.0,292497.67,Personal Auto,Four-Door Car,240
SD64087,California,M,College,1501409,32961.0,190.0,1501409.27,Corporate Auto,SUV,912
OY38576,Oregon,F,High School or Below,927723,71416.0,116.0,927723.38,Corporate Auto,SUV,556
BG76355,Washington,F,Bachelor,627412,68964.0,78.0,627412.39,Personal Auto,Four-Door Car,115
IP66913,California,M,High School or Below,388664,78108.0,98.0,388664.74,Personal Auto,Two-Door Car,470
LE95702,California,M,College,438627,10621.0,67.0,438627.76,Special Auto,Four-Door Car,321
KX54357,Washington,M,College,1136526,84910.0,95.0,1136526.77,Corporate Auto,Two-Door Car,383
EZ78112,California,F,High School or Below,561096,77493.0,70.0,561096.43,Special Auto,Four-Door Car,307
XN16891,Arizona,M,College,291289,81097.0,74.0,291289.2,Personal Auto,Four-Door Car,355
XK31350,Oregon,F,College,691572,96610.0,85.0,691572.99,Corporate Auto,Four-Door Car,520
CC30924,Oregon,M,College,626266,30110.0,159.0,626266.33,Corporate Auto,Luxury,466
IT78748,Oregon,F,High School or Below,650339,22081.0,84.0,650339.7,Special Auto,Two-Door Car,451
KY33386,Washington,F,High School or Below,800739,0.0,112.0,800739.94,Personal Auto,Luxury,537
CO44221,California,M,College,292991,98473.0,72.0,292991.65,Personal Auto,Four-Door Car,345
LK60013,Oregon,F,Bachelor,596955,97431.0,74.0,596955.3,Personal Auto,Four-Door Car,355
DE21533,California,M,Bachelor,547315,93870.0,69.0,547315.99,Personal Auto,Four-Door Car,331
YS94121,Nevada,M,High School or Below,564539,50366.0,72.0,564539.67,Personal Auto,Four-Door Car,428
UK68427,Washington,M,High School or Below,636926,34498.0,83.0,636926.24,Personal Auto,Two-Door Car,398
TE49565,Oregon,F,College,1183376,16552.0,103.0,1183376.73,Personal Auto,SUV,494
RA88421,Oregon,F,College,612110,26787.0,77.0,612110.79,Personal Auto,Four-Door Car,369
KQ51983,Nevada,M,College,515936,0.0,74.0,515936.97,Personal Auto,Two-Door Car,831
CD88896,Nevada,F,High School or Below,251459,43860.0,65.0,251459.2,Corporate Auto,Four-Door Car,156
YV22553,Arizona,M,High School or Below,866861,21474.0,114.0,866861.13,Corporate Auto,SUV,373
WU14435,California,M,Bachelor,496096,18174.0,66.0,496096.54,Corporate Auto,Four-Door Car,395
XV84099,Arizona,F,Bachelor,550413,0.0,73.0,550413.9,Corporate Auto,Four-Door Car,350
RI24911,Arizona,M,College,750745,60920.0,64.0,750745.54,Personal Auto,Two-Door Car,231
KO26461,Arizona,M,High School or Below,3226985,41520.0,90.0,3226985.14,Personal Auto,Four-Door Car,289
HI14283,Oregon,F,Bachelor,565703,0.0,152.0,565703.16,Personal Auto,SUV,729
PT50227,Arizona,M,High School or Below,506175,0.0,68.0,506175.79,Personal Auto,Two-Door Car,326
BH36570,California,M,Bachelor,591278,72208.0,73.0,591278.38,Personal Auto,Two-Door Car,350
TX17484,California,F,Bachelor,1518227,53863.0,63.0,1518227.98,Personal Auto,Four-Door Car,105
CT41158,Washington,M,College,1074703,66446.0,136.0,1074703.09,Corporate Auto,SUV,639
AO87348,Washington,M,College,205062,0.0,61.0,205062.35,Personal Auto,Four-Door Car,292
DE55857,Washington,F,Bachelor,246544,64997.0,63.0,246544.49,Personal Auto,Four-Door Car,383
LF66923,Nevada,F,High School or Below,534312,64460.0,66.0,534312.13,Corporate Auto,Two-Door Car,316
CN24514,Arizona,F,College,811982,46618.0,67.0,811982.91,Personal Auto,Four-Door Car,99
UW32074,Oregon,F,College,460526,0.0,64.0,460526.52,Corporate Auto,Four-Door Car,307
HP36979,California,M,College,640878,49988.0,84.0,640878.56,Personal Auto,Two-Door Car,566
PP40919,California,F,College,237653,0.0,91.0,237653.35,Personal Auto,Two-Door Car,436
RO73268,California,M,Bachelor,321107,16269.0,86.0,321107.0,Corporate Auto,Two-Door Car,412
HO61691,Arizona,F,Bachelor,509452,72006.0,64.0,509452.23,Personal Auto,Four-Door Car,307
BS13062,Arizona,F,High School or Below,2575527,0.0,81.0,2575527.82,Personal Auto,Four-Door Car,388
FO35655,Oregon,M,Bachelor,867222,0.0,245.0,867222.97,Corporate Auto,Luxury,2345
HR10526,California,M,Master,804473,44320.0,67.0,804473.07,Personal Auto,Four-Door Car,321
IA63417,Arizona,F,High School or Below,400151,19782.0,108.0,400151.91,Personal Auto,Two-Door Car,773
BH35016,Nevada,F,Bachelor,1670611,63933.0,70.0,1670611.7,Personal Auto,Two-Door Car,424
PK52952,Arizona,M,Doctor,854441,28224.0,109.0,854441.11,Personal Auto,SUV,523
OD76309,Washington,F,College,780531,21073.0,106.0,780531.29,Personal Auto,SUV,508
IL28481,Oregon,M,Bachelor,611275,63243.0,77.0,611275.69,Personal Auto,Four-Door Car,364
GY55092,Nevada,M,High School or Below,477294,20993.0,133.0,477294.38,Personal Auto,SUV,638
UF33451,Oregon,F,Bachelor,1097909,94827.0,135.0,1097909.56,Personal Auto,SUV,354
CF15558,California,F,Master,500426,39161.0,63.0,500426.38,Personal Auto,Two-Door Car,283
JM62924,Washington,M,Bachelor,1322304,37534.0,84.0,1322304.38,Personal Auto,Four-Door Car,403
EM66435,Oregon,F,Bachelor,262331,80210.0,65.0,262331.54,Corporate Auto,Four-Door Car,20
QX45933,California,M,Bachelor,1784019,0.0,62.0,1784019.56,Personal Auto,Four-Door Car,385
JI71369,California,F,College,510611,30110.0,64.0,510611.18,Personal Auto,Four-Door Car,140
JU93290,Arizona,F,College,1793060,21708.0,68.0,1793060.45,Personal Auto,Four-Door Car,326
GU66096,Arizona,M,High School or Below,545734,94731.0,67.0,545734.26,Personal Auto,Four-Door Car,321
UC33108,California,M,Bachelor,656364,32375.0,83.0,656364.41,Personal Auto,Four-Door Car,398
LW93867,Oregon,M,College,481252,16531.0,63.0,481252.52,Corporate Auto,Four-Door Car,102
OU78470,Arizona,F,Master,2932804,32006.0,94.0,2932804.19,Corporate Auto,Four-Door Car,56
XW90265,Arizona,F,Bachelor,577352,81676.0,72.0,577352.07,Personal Auto,Two-Door Car,463
HS67749,California,M,College,684711,71038.0,86.0,684711.89,Corporate Auto,Four-Door Car,205
VZ51506,Arizona,F,High School or Below,359531,0.0,103.0,359531.29,Corporate Auto,Luxury,741
UI64281,Nevada,F,Master,2285561,20832.0,65.0,2285561.21,Personal Auto,Two-Door Car,56
AE98193,Washington,M,High School or Below,785941,0.0,113.0,785941.46,Personal Auto,SUV,813
AZ74055,Oregon,M,High School or Below,411557,52405.0,103.0,411557.74,Personal Auto,Four-Door Car,494
XS76911,Arizona,F,High School or Below,502963,0.0,133.0,502963.88,Personal Auto,Luxury,795
AY40674,Washington,F,Bachelor,482141,26583.0,1005.0,482141.85,Personal Auto,SUV,614
NA12740,Oregon,M,Master,500431,25486.0,65.0,500431.05,Special Auto,Two-Door Car,72
UA84837,Arizona,M,College,863005,24065.0,111.0,863005.39,Corporate Auto,Four-Door Car,532
